classtype2,rms,lowenergy,tempo
2,0.022470373454126665,0.6483790523690773,64.01669713828058
2,0.020808193164996346,0.6755407653910149,100.41448982308188
2,0.01705985686991733,0.6175,150.12782324038554
2,0.018761761757012125,0.62,146.96168706956973
2,0.021756735155735046,0.6583541147132169,133.16849306249074
2,0.016164163647291455,0.6081871345029239,61.54572228369403
1,0.02986195691735974,0.6400665004156276,159.26362061116365
1,0.04480294395068895,0.6069941715237303,120.02471225231508
2,0.05548522946540628,0.5620316402997502,82.05376839313932
1,0.05296865176846168,0.5437135720233139,84.97186034675362
1,0.04912411157857608,0.5662739322533137,85.78446082957693
2,0.06476337547701343,0.6392352452202826,53.72344390640079
2,0.06006017548689836,0.7253756260434057,137.18918768279667
2,0.09541732239055349,0.658312447786132,119.89887600089233
2,0.10885169101649206,0.6223893065998329,83.50711618500893
2,0.13772836509182984,0.5941666666666666,121.47548644286955
2,0.10879349574936144,0.6023489932885906,126.44707128755338
1,0.022067516399485985,0.541978387364921,147.71099873568903
1,0.025644526866851192,0.5540765391014975,153.9390585688176
2,0.030333420764084434,0.580267558528428,101.60731257911708
1,0.036664327615905566,0.535,143.02710668083438
2,0.03231388162007518,0.5495420482930891,113.9763466117
1,0.028442382219219138,0.5516666666666666,113.8032187061258
2,0.06391166358413015,0.5795170691090757,124.16304245387492
2,0.10119425758295364,0.47210657785179017,174.3501603496812
2,0.11567588940136894,0.48209825145711904,171.21368569837483
2,0.09534987889977885,0.5253955037468776,169.03148111173792
2,0.10025639054472128,0.5062447960033306,164.78636752215274
2,0.09541989152444981,0.505,71.14937107140035
1,0.10604539796066363,0.5345545378850958,93.8474272703655
1,0.14759956408522326,0.5295587010824313,73.81400082154147
2,0.1339285173350428,0.5162364696086594,121.11795567856463
2,0.13895215302975844,0.5004163197335554,86.03305505920102
2,0.12271769947388061,0.5237302248126561,54.24522717350261
2,0.14129303803093293,0.5391666666666667,64.60642073593742
2,0.022394907459513162,0.607826810990841,99.4561209215494
2,0.036651791936845174,0.6203164029975021,177.38502276619633
2,0.03623355522873732,0.5453788509575354,138.44660970536495
2,0.031002088690941364,0.5628642797668609,183.60432208307415
2,0.03714430301388981,0.604496253122398,60.71741520350307
2,0.04959875952690842,0.5491666666666667,166.16360645727204
2,0.07567588892312818,0.4446294754371357,142.70873022821502
2,0.08593030169250357,0.4321398834304746,42.954011787632574
2,0.09820242626039213,0.5004163197335554,146.54183953309777
2,0.10203877642146798,0.49791840133222315,133.45320655368343
2,0.0836739110206374,0.46711074104912575,83.94546828069988
2,0.1430806725520087,0.5908333333333333,123.64402452481661
2,0.05431020989756293,0.5670274771024146,95.51389767977378
1,0.061476176825731116,0.5678601165695254,131.94678416287195
2,0.0647449124110867,0.5995004163197336,128.12162943611227
1,0.05721076987395346,0.5745212323064113,178.94445738086262
1,0.06446665483331569,0.5945045795170691,185.50064730566507
1,0.057262894132181164,0.5933333333333334,99.96868327669821
2,0.0313460116785032,0.6244796003330558,129.4680554305081
2,0.04040445790917652,0.6694421315570358,67.79204580256169
2,0.04078206447571675,0.6902581182348043,98.15360899133955
2,0.046952159465616206,0.6311407160699417,53.33634194839108
2,0.06580535295768548,0.5936719400499584,120.01848856306069
2,0.06687390727374659,0.5933333333333334,102.06948760190299
2,0.01203746396428774,0.6003330557868443,101.39105416978234
2,0.010947661143243621,0.5736885928393006,181.86945786653484
2,0.011552194571415507,0.5711906744379683,81.5225914451962
2,0.007366302413674443,0.5886761032472939,125.62309624252678
2,0.009956747861667751,0.6094920899250624,98.65685523263903
2,0.011764174628887106,0.5891666666666666,91.78608494078009
2,0.0287497283993437,0.5445462114904246,158.758465839693
2,0.03389575537735144,0.533721898417985,156.48138911181843
2,0.02947254110205346,0.4995836802664446,131.22780441772204
2,0.03505190380210396,0.5070774354704413,159.97871142508407
2,0.043756661535187064,0.5587010824313072,128.8339015964169
2,0.0666861359714638,0.6008333333333333,46.19427771451489
1,0.026651722904038107,0.6178184845961698,126.43878039779679
1,0.04295807559462045,0.6502914238134888,138.2112525109758
1,0.03267329205582343,0.6586178184845962,135.87350165602933
1,0.02293069730972106,0.6577851790174855,82.43832462361834
1,0.027779380138776816,0.6452955870108243,123.44723992025241
1,0.021818713113377502,0.6183333333333333,123.9625261764191
1,0.11276042640066766,0.6178184845961698,47.50355241377594
1,0.11444699256929206,0.5911740216486261,73.99086133387125
1,0.12341322117440902,0.5578684429641965,118.38540281639047
1,0.12055810768996299,0.5661948376353039,121.52561346094468
1,0.1383254282020718,0.5095753538717736,123.10035168214354
1,0.1318120869138536,0.54,124.50120497152106
2,0.009209039109674796,0.652789342214821,133.13075411030016
2,0.008997868337392013,0.7735220649458784,76.25516337495314
2,0.01422763474781359,0.7194004995836802,139.39613843132526
2,0.008252595820834699,0.7060782681099084,161.81454793025202
2,0.01438848322127196,0.6328059950041632,98.00731011269403
2,0.015047150944553453,0.7125,131.76909236975678
1,0.005127392480451958,0.5695253955037469,80.86596447349413
1,0.006626508890312935,0.6486261448792673,118.59342526815713
2,0.00955309612239312,0.5778517901748543,77.51963387611163
1,0.006477790458729754,0.5387177352206495,149.09655502125003
1,0.012934998350485928,0.5720233139050791,71.74410890983926
1,0.011642661933827566,0.6416666666666667,92.88641375977897
2,0.009765087464553266,0.6736053288925895,110.09406046575161
