emotionclass,attacktime,zerocross,rolloff,brightness,centroid,roughness,regularity,pitch
1,0.042389493,2385.328893,5012.922174,0.610715009,2828.793319,0.834922432,0.017431658,640.6958994
1,0.027217803,2336.041667,4890.315755,0.617276119,2788.461679,1.274612033,0.062242958,1249.156345
1,0.033031798,2432.681099,5224.825666,0.614563595,2979.533132,0.989847191,0.059976789,1657.594963
2,0.028885417,1744.363031,5553.701993,0.497113953,2934.609982,0.068059622,0.065803012,1086.607293
1,0.03014685,1605.786844,5015.849422,0.517413092,2879.695569,0.241444385,0.20910374,1152.211461
1,0.033830128,1634.313072,5043.180162,0.508527527,2849.123552,0.375816188,0.136279945,1126.900519
2,0.03176127,1514.229808,4919.669806,0.500084513,2790.843342,0.267917525,0.060935113,522.4578403
1,0.040845126,1266.175,4617.880859,0.446654667,2546.409755,0.080824587,0.042922019,300.0074438
1,0.015790936,1781.681932,5828.902347,0.514871062,3054.551452,0.164671261,0.182387652,701.6428235
2,0.029273237,1218.817652,4565.71672,0.502093486,2337.391369,10.61412832,0.276037091,457.7961442
2,0.029910461,1188.842631,4859.15383,0.477512749,2341.984396,9.090206848,0.185674219,222.9938592
2,0.027509259,1343.363863,4752.504423,0.51638361,2429.588729,10.84654502,0.228181196,481.9903785
2,0.115876344,1601.565362,4885.499063,0.565785125,2599.466313,30.06969503,0.233486068,798.8059731
2,0.037961397,1568.658333,4890.439453,0.567749604,2610.478904,33.18111203,0.226485341,942.7728475
2,0.024683929,1312.706078,4693.552215,0.517730362,2421.163095,17.01771954,0.283000943,420.0266923
1,0.024300595,649.3588676,2361.879423,0.261050074,1504.130771,6.477689995,0.204382549,496.9316236
1,0.040055743,689.9500416,2434.982567,0.306585605,1544.630401,6.801350147,0.160040184,547.0865045
1,0.044023437,711.2989176,2256.879033,0.291949564,1445.481136,3.32576891,0.037894053,172.1823573
1,0.027408617,686.7277269,2282.092397,0.279238804,1422.854241,11.25832668,0.057028982,448.2205268
1,0.0414375,824.6083333,2470.087891,0.317050715,1549.413288,8.214844723,0.035435829,138.8529703
1,0.103719032,935.3955037,3024.108618,0.340556527,1747.982421,9.490019836,0.118908411,475.9792199
2,0.029358527,493.6219817,2371.334435,0.213183448,1576.767897,0.053474581,0.058251801,291.7647806
2,0.04073596,462.8309742,2196.841174,0.20596431,1503.40332,0.101930512,0.104607149,309.1140634
2,0.115271635,472.2647794,2232.270634,0.197199345,1534.460828,0.002951447,0.039571733,328.6675459
2,0.058162879,494.029975,2615.330324,0.22059977,1688.555652,0.034890266,0.041423447,318.9466331
2,0.104057292,497.6416667,2124.267578,0.180484721,1521.79138,0.005740752,0.088684897,342.1037487
2,0.04640942,555.3288926,2783.43077,0.236692408,1715.629682,0.001228861,0.013955388,277.0807403
1,0.015524306,1039.966694,3852.834227,0.367200591,2000.356911,3.254316512,0.157619859,716.4700082
1,0.023211623,1082.53955,4091.590341,0.373005833,2036.894547,1.186876761,0.048840188,412.9578159
2,0.023889124,1077.593672,4071.704569,0.390407464,2073.022949,3.015236259,0.159392171,403.4848719
1,0.032022727,995.7035803,3600.222471,0.358038901,1970.754046,1.438761465,0.025354759,836.6610836
2,0.02302193,1077.158333,3933.320313,0.382968333,2058.791815,4.119950694,0.188948331,550.7267206
1,0.039170238,1068.917569,4026.906066,0.397765101,2044.898528,5.228440639,0.221315793,594.4103923
1,0.021253531,623.6552873,3944.671758,0.367451918,1957.867396,6.707035471,0.432532864,194.2599806
1,0.02040055,796.6944213,4174.958368,0.390861254,2083.544997,4.544714876,0.372827281,260.6566137
1,0.031233974,982.0815987,4785.88481,0.427331102,2315.20473,5.26223258,0.263869434,363.2265933
1,0.027852273,803.3139051,4638.536896,0.408555616,2232.953949,19.22277701,0.282355047,258.1422952
1,0.028024306,952.1166667,4676.259766,0.434061997,2273.06168,9.834992165,0.143249758,329.1534185
1,0.016835172,1129.558701,4472.161829,0.456669538,2275.219343,7.707282835,0.307344926,203.3716734
2,0.044986702,1415.253955,3430.646987,0.425147453,1893.880743,4.932252783,0.039307478,268.3795865
1,0.041283537,1029.350541,3031.985065,0.348915027,1578.4782,10.96586205,0.029086435,271.8113645
2,0.076339286,1244.829309,3057.979028,0.358309692,1615.144945,3.431818479,0.018373435,330.0891858
2,0.030100694,1552.65,3253.267299,0.415734905,1833.060522,3.946913819,0.022859576,310.071306
2,0.084969975,1607.535387,3501.056282,0.465887046,1992.749091,7.961528927,0.034347194,396.7816441
2,0.028922316,949.5587011,3224.919989,0.363940628,1716.016901,3.197311598,0.137440015,820.4075536
2,0.026984797,906.6694421,3310.317574,0.355566183,1697.234424,3.295435143,0.16711528,626.2546587
2,0.036330404,1286.694421,3839.15422,0.445348433,2023.288131,2.814231076,0.1713224,881.1858854
2,0.032069542,1159.650291,3587.040097,0.43323752,1922.131378,4.658181539,0.217810155,1260.517416
2,0.035060345,1537.716667,3861.640625,0.519789571,2219.723775,2.272125621,0.173295042,1404.342325
2,0.030471429,888.0849292,3331.120771,0.361939159,1699.239379,2.111661632,0.10704482,692.7416009
1,0.051096847,1438.118235,4481.884597,0.46833667,2370.740229,0.618924632,0.184542435,480.957746
1,0.024900253,1279.467111,4436.703138,0.494273718,2446.941455,1.279292562,0.243896464,739.115744
1,0.03434741,1172.481266,4457.25242,0.46569452,2337.225352,1.105956376,0.14246518,631.7141435
2,0.030553105,1382.406328,4770.067912,0.499206177,2511.056013,1.641901629,0.188490353,888.8014924
1,0.043594401,1570.341382,4744.971638,0.548144683,2606.449803,3.100363875,0.165623317,1513.12749
1,0.026569979,1639.891667,4851.230469,0.553131311,2659.941194,3.223756172,0.179052047,1388.696263
2,0.042713624,1207.152373,4297.668766,0.422269404,2251.951931,0.737874183,0.037961931,168.8329822
2,0.026416118,1172.106578,4293.521675,0.41550736,2249.477041,0.400671552,0.019315279,151.1153411
2,0.026975236,1138.109908,4297.678367,0.396699867,2233.25092,0.655866459,0.046867922,175.6496905
2,0.027119792,1031.165695,4198.327566,0.38688824,2177.110327,0.816556766,0.057936199,209.8962338
1,0.027428146,1185.203997,4414.485325,0.408412204,2267.878731,0.640663601,0.037699953,164.5971838
2,0.027039236,1305.85,4489.453125,0.430464661,2316.431057,0.618501536,0.0417983,208.4500994
2,0.034003606,1300.50791,3740.161049,0.497949199,2251.455764,9.229164092,0.28567865,1637.146922
2,0.030770337,1303.263947,4011.803315,0.497561201,2278.618214,1.844513776,0.141028528,1448.777578
2,0.025552989,1456.544546,4519.680865,0.551049536,2508.51768,6.654269839,0.214513332,1628.253953
2,0.028104929,1287.985012,4118.872294,0.49528499,2297.124711,3.704227843,0.12262409,1358.825449
2,0.025459517,1328.401332,4249.710528,0.517922795,2371.730317,7.04186302,0.184218149,1593.468067
2,0.025517556,1512.341667,4339.736328,0.559164191,2480.301211,10.03597458,0.180122661,1376.499257
1,0.067463542,1589.225645,7074.67186,0.467799884,3293.103037,0.472746464,0.035642084,409.3226128
1,0.050525,1133.946711,5044.965784,0.416504778,2672.59493,0.280181683,0.024362199,296.8938897
1,0.023296429,1340.5995,5003.90625,0.438951288,2730.713032,1.056925845,0.041831825,363.9240112
1,0.045890625,1271.024147,4818.406536,0.420995373,2659.553418,1.346061175,0.001181455,315.5010337
1,0.069110795,997.4437968,4343.626405,0.318156916,2421.570475,1.230726095,0.029271203,349.2254436
1,0.034413628,875.6583333,4341.015625,0.302891158,2365.104168,5.732949584,0.095822366,331.5188986
1,0.093014535,1035.645296,3753.231312,0.369570365,2149.418649,7.345713514,0.188111242,411.8670623
1,0.033381771,973.7718568,3414.12755,0.349737195,2043.613496,8.02529445,0.241459684,888.0342031
1,0.028126142,1058.759367,3474.419104,0.383052938,2060.317999,17.31938718,0.239253154,960.9096517
1,0.029890777,1203.646961,3579.575614,0.425233523,2219.340651,21.63802782,0.260433054,1098.635411
1,0.027112202,1173.522065,4338.845233,0.435291912,2360.530943,11.85592553,0.102508994,1078.490423
2,0.028350738,1055.583333,3869.169922,0.393201065,2209.073571,33.70825239,0.137701023,998.6464997
1,0.05303125,1188.393006,3355.492445,0.483804275,1975.9594,2.544323258,0.1509863,243.0545443
1,0.0190125,1112.939217,3231.369692,0.464546568,1895.87868,0.283849366,0.035491437,209.9685842
2,0.043588038,1100.482931,3261.793557,0.473216939,1912.315872,4.023823684,0.091822286,232.9789908
2,0.023864766,1131.049126,3277.464092,0.488789929,1938.306814,1.409159972,0.09187966,239.7957513
2,0.02065744,1201.998335,3273.531822,0.461518727,1888.992604,2.782504766,0.196762291,249.6279889
2,0.036600694,1347.641667,3247.548828,0.510042328,1975.981156,6.811704243,0.099786932,409.2147985
2,0.029773313,1608.17652,3925.447271,0.445109232,2231.199949,2.097200748,0.179521606,228.3053653
2,0.016302443,1297.801832,3615.580766,0.383178036,2017.954715,4.274639296,0.185455649,237.7593338
2,0.016940519,1233.313905,3782.033852,0.404762907,2075.591198,3.363994423,0.292231346,239.7209786
2,0.017212432,1312.972523,3871.344192,0.402917327,2119.336783,1.022749376,0.202913495,262.0851958
2,0.021515244,1597.293922,4013.706026,0.435026686,2268.404814,4.094590824,0.265741847,1086.808593
2,0.025330163,1619.133333,4039.746094,0.451715715,2289.598458,2.449819708,0.214862595,380.3480444
1,0.045853535,814.5711907,3498.291016,0.319649895,1913.003185,2.958180181,0.074058247,450.5162389
1,0.026119358,793.2472939,3413.873855,0.343136867,1813.249754,44.35361117,0.191269877,407.2437544
1,0.029394596,891.7152373,3465.510512,0.357453841,1857.934759,63.18861044,0.187735949,454.3083286
1,0.030840625,916.7277269,3738.300765,0.34957367,1939.488347,18.05620631,0.105019325,462.1501542
1,0.028118845,894.2714405,3367.75994,0.357898238,1849.559912,16.56102468,0.171731514,546.7233312
1,0.029198746,923.55,3390.009766,0.346612438,1831.835477,37.85429356,0.200202195,615.9288975
1,0.021349806,1290.033306,3813.093437,0.411933515,2016.779555,0.560781638,0.032960071,517.2056811
1,0.027638605,1061.323897,3628.285023,0.379403701,1903.190819,0.2609779,0.038044293,436.5666838
1,0.026616951,1030.557868,3542.702045,0.383156647,1868.786072,0.283488448,0.029558635,319.0752371
1,0.023899379,1197.868443,3873.842111,0.400811536,2011.55419,0.657759823,0.07569313,628.5705748
1,0.024173611,1171.157369,3747.521597,0.394725107,1989.376324,0.385581584,0.019380494,415.9226555
1,0.019778274,1418.008333,4260.205078,0.44200981,2242.074132,0.98898164,0.031894652,549.042999
1,0.026969604,848.6761032,3212.176702,0.355739566,1828.409839,2.410829504,0.217525354,506.8841774
1,0.02691608,793.8551207,3244.239826,0.335717063,1843.539233,2.137148811,0.201710382,444.9012218
1,0.022330882,897.3522065,3237.594973,0.370088596,1845.064978,1.562424769,0.121305963,1102.716955
1,0.035041667,943.0474604,3326.700406,0.373064367,1882.897194,4.937255838,0.202673556,540.1482174
1,0.040476914,1045.741667,3344.912109,0.423958716,2008.73726,0.69699106,0.103492313,1448.535916
1,0.028005952,608.8093256,2996.035156,0.210642912,1796.452076,0.464915275,0.128734495,471.1032349
1,0.024262153,626.4113239,2566.67946,0.208567608,1694.797202,0.779114281,0.160584421,472.4742951
1,0.022325079,670.949209,3004.08839,0.231552282,1771.888477,0.498998873,0.091672934,419.6785212
1,0.025089286,502.5062448,2085.420353,0.174489777,1472.507629,0.425962175,0.162354455,303.4264737
1,0.019454313,681.2489592,3013.016497,0.229246427,1791.104005,0.79858504,0.148891847,542.9239122
1,0.052099291,572.0899251,2817.587363,0.265720159,1766.214486,16.49355412,0.267429512,306.2100159
1,0.044425,933.8717735,3135.336438,0.370884838,2005.4558,11.08398002,0.184940152,874.0879456
1,0.031066667,915.5370525,2910.318875,0.336322222,1869.656748,12.91331327,0.097910313,1106.864997
1,0.031286352,769.7169026,2994.496774,0.300285363,1795.610419,38.08079008,0.155986115,479.8309369
1,0.02666862,678.7593672,2777.841382,0.266252911,1660.643002,37.19117695,0.139799442,232.8777464
2,0.040951265,1377.402165,4745.341797,0.492117462,2528.953201,11.1173403,0.03321618,332.2308889
2,0.066362103,1118.434638,4922.919052,0.43614944,2570.232041,12.68513425,0.04890348,293.496784
2,0.019407143,796.7610325,3981.242845,0.418248657,2159.191357,0.751017919,0.018053986,165.9100758
2,0.018662548,865.4870941,4005.958576,0.423838275,2172.694241,0.144250371,0.017472443,135.3140441
2,0.016514337,849.0424646,4113.739852,0.441022312,2165.455241,0.481484413,0.017721786,164.3766603
2,0.079119253,1102.914238,4021.926686,0.427983331,2151.906828,1.432989699,0.108152133,524.2429496
2,0.02005754,1208.959201,3867.002108,0.405755682,2094.433207,5.261262899,0.139542587,571.8897227
2,0.022752604,1140.108243,3763.914186,0.395668587,1995.794598,9.633281826,0.136241681,987.9552085
2,0.029939145,1239.317236,4008.427222,0.435054517,2198.083422,4.676681935,0.150872303,1221.737583
2,0.030301339,1406.527893,4103.689634,0.464596525,2268.374884,6.739243424,0.124950324,1305.294712
